MedInc,Latitude,Longitude
2.0227,37.74,-122.16
3.3333,37.9,-122.29
5.337999999999999,37.9,-122.29
3.4732,37.89,-122.29
3.5125,37.9,-122.3
3.1375,37.89,-122.29
2.8036,37.89,-122.3
4.5824,37.9,-122.3
3.0208,37.89,-122.3
4.0875,37.89,-122.3
4.5268,37.89,-122.33
1.7375,37.88,-122.34
3.1795,37.89,-122.29
3.8672,37.88,-122.29
5.1675,37.89,-122.29
5.1696,37.89,-122.29
4.2614,37.88,-122.28
5.0551,37.89,-122.29
5.6228,37.9,-122.27
7.8864,37.9,-122.26
7.9556,37.9,-122.27
6.174,37.9,-122.27
6.9414,37.9,-122.27
8.8342,37.89,-122.27
7.1754,37.9,-122.28
10.0825,37.9,-122.28
4.9083,37.9,-122.28
5.7912,37.89,-122.28
4.5893,37.89,-122.28
5.4171,37.89,-122.28
4.125,37.89,-122.28
7.266,37.89,-122.27
5.3989,37.89,-122.27
7.8336,37.9,-122.26
6.1593,37.89,-122.25
6.381,37.89,-122.26
6.6828,37.89,-122.26
7.5385,37.89,-122.25
6.7138,37.89,-122.25
6.2425,37.88,-122.26
5.7979,37.88,-122.26
4.2813,37.88,-122.27
3.5417,37.88,-122.27
3.0132,37.88,-122.27
4.1429,37.88,-122.28
4.1912,37.88,-122.28
3.9167,37.88,-122.28
3.8897,37.88,-122.29
3.1065,37.88,-122.29
2.9926,37.88,-122.29
3.556,37.88,-122.29
1.475,37.88,-122.3
1.6971,37.88,-122.3
2.1705,37.87,-122.3
2.75,37.86,-122.3
2.5682,37.85,-122.29
2.9,37.88,-122.3
2.2208,37.87,-122.3
3.2344,37.88,-122.28
3.5156,37.87,-122.28
1.9805,37.87,-122.28
2.6684,37.87,-122.29
3.875,37.87,-122.29
3.006,37.88,-122.28
2.543,37.87,-122.28
2.8676,37.87,-122.28
2.1907,37.88,-122.27
1.7778,37.87,-122.27
2.52,37.88,-122.27
4.2788,37.88,-122.26
2.944,37.88,-122.26
1.725,37.88,-122.26
5.2289,37.87,-122.25
2.5562,37.87,-122.25
0.949,37.87,-122.25
1.1696,37.87,-122.25
1.4012,37.87,-122.26
1.1859,37.87,-122.26
1.7464,37.87,-122.27
2.8846,37.87,-122.27
2.7372,37.87,-122.27
3.8594,37.86,-122.28
3.5625,37.87,-122.28
2.2788,37.87,-122.28
2.537,37.87,-122.29
2.525,37.87,-122.29
1.9946,37.86,-122.29
2.8214,37.86,-122.28
2.6165,37.87,-122.29
1.9483,37.86,-122.29
1.9327,37.86,-122.28
1.9798,37.86,-122.28
2.4167,37.85,-122.28
2.5417,37.86,-122.27
3.3906,37.86,-122.28
2.5652,37.86,-122.28
2.2845,37.86,-122.28
2.6071,37.86,-122.27
3.15,37.86,-122.27
2.6914,37.86,-122.27
1.8447,37.86,-122.27
1.6307,37.86,-122.26
2.9044,37.86,-122.26
2.9405,37.86,-122.26
3.3893,37.86,-122.26
3.0417,37.86,-122.25
7.0897,37.86,-122.25
5.0463,37.86,-122.25
1.7652,37.86,-122.25
7.8521,37.86,-122.24
9.3959,37.85,-122.24
5.3794,37.86,-122.25
3.2619,37.85,-122.26
2.7054,37.85,-122.27
2.2431,37.85,-122.27
1.9028,37.85,-122.27
1.5817,37.85,-122.27
2.2841,37.85,-122.27
1.3785,37.85,-122.27
2.9018,37.85,-122.28
1.73,37.85,-122.28
2.2625,37.85,-122.28
2.2106,37.84,-122.29
2.6997,37.83,-122.28
4.0018,37.84,-122.3
7.8772,37.83,-122.23
11.8603,37.82,-122.22
13.499,37.82,-122.22
12.2138,37.82,-122.23
8.1872,37.82,-122.23
12.3804,37.82,-122.23
5.8948,37.83,-122.24
8.1194,37.83,-122.24
8.7477,37.82,-122.23
6.155,37.82,-122.24
5.882999999999999,37.82,-122.25
5.2128,37.76,-122.23
4.7188,37.76,-122.23
5.2915,37.76,-122.23
2.6411,37.77,-122.24
3.3214,37.77,-122.23
3.6417,37.77,-122.24
3.0161,37.77,-122.25
3.1771,37.77,-122.25
3.4531,37.77,-122.25
4.3098,37.77,-122.25
3.3438,37.78,-122.26
2.9213,37.78,-122.26
2.6806,37.78,-122.27
3.7708,37.78,-122.27
3.9444,37.78,-122.27
5.2601,37.78,-122.27
2.5444,37.79,-122.28
2.6447,37.77,-122.3
2.5762,37.78,-122.28
1.9427,37.78,-122.29
2.9688,37.77,-122.28
3.75,37.77,-122.28
5.1702,37.76,-122.29
2.5139,37.78,-122.28
2.9732,37.77,-122.26
5.5337,37.77,-122.27
4.1667,37.77,-122.27
2.7115,37.77,-122.27
3.3269,37.77,-122.27
3.2685,37.77,-122.25
4.7778,37.77,-122.26
4.226,37.77,-122.26
3.3571,37.77,-122.26
2.9899,37.77,-122.26
2.875,37.77,-122.26
2.3882,37.77,-122.24
2.975,37.77,-122.25
5.1039,37.76,-122.23
4.1458,37.76,-122.23
3.4762,37.76,-122.24
2.6833,37.76,-122.24
5.75,37.76,-122.23
3.9632,37.75,-122.23
4.9489,37.75,-122.24
4.8711,37.75,-122.24
3.0718,37.76,-122.24
3.6719,37.76,-122.24
4.6094,37.76,-122.24
4.5213,37.73,-122.24
4.4562,37.74,-122.25
7.611000000000001,37.72,-122.24
3.2689,37.73,-122.27
3.567,37.76,-122.25
3.6875,37.74,-122.27
4.7695,37.77,-122.27
3.1972,37.75,-122.28
7.2634,37.77,-122.06
7.0568,37.73,-122.06
4.635,37.71,-122.06
5.3015,37.71,-122.07
4.9801,37.71,-122.07
5.4834,37.72,-122.07
6.187,37.72,-122.08
5.6194,37.72,-122.08
5.4639,37.71,-122.08
5.1498,37.71,-122.09
5.8382,37.72,-122.1
4.65,37.71,-122.11
4.3819,37.7,-122.1
3.7222,37.69,-122.1
5.2855,37.71,-122.09
4.3375,37.7,-122.09
5.2131,37.71,-122.1
6.005,37.7,-122.09
5.0519,37.71,-122.08
4.8237,37.71,-122.08
5.2497,37.7,-122.08
4.125,37.7,-122.07
4.6005,37.7,-122.06
3.5187,37.7,-122.06
3.0,37.7,-122.07
3.4934,37.7,-122.08
2.9861,37.7,-122.09
2.5362,37.69,-122.07
3.3021,37.69,-122.08
3.0964,37.69,-122.07
2.8512,37.69,-122.08
3.3478,37.69,-122.08
2.3958,37.68,-122.08
3.5295,37.68,-122.08
4.8036,37.69,-122.09
3.851,37.74,-122.15
4.0662,37.74,-122.14
4.6042,37.73,-122.14
2.2,37.74,-122.15
4.1164,37.73,-122.16
3.95,37.74,-122.15
4.9135,37.73,-122.15
2.8355,37.73,-122.15
3.25,37.73,-122.17
2.8301,37.73,-122.16
3.7159,37.73,-122.17
2.5625,37.73,-122.16
3.8047,37.72,-122.18
3.375,37.71,-122.18
3.244,37.71,-122.17
4.0268,37.7,-122.18
3.3906,37.7,-122.18
5.5461,37.71,-122.19
3.3710000000000004,37.72,-122.17
3.5313,37.72,-122.17
3.663,37.72,-122.17
2.875,37.72,-122.16
4.0202,37.72,-122.17
4.5553,37.71,-122.16
3.4643,37.71,-122.16
3.3431,37.72,-122.16
2.1898,37.73,-122.15
2.9097,37.72,-122.15
3.375,37.72,-122.15
2.8125,37.72,-122.15
5.0,37.73,-122.14
3.0673,37.73,-122.14
3.8125,37.73,-122.14
6.9096,37.73,-122.13
7.912000000000001,37.72,-122.13
3.8393,37.72,-122.13
4.0,37.71,-122.12
6.5095,37.72,-122.13
3.5156,37.72,-122.14
2.983,37.72,-122.14
3.524,37.72,-122.13
3.1103,37.71,-122.13
3.5781,37.71,-122.13
3.1682,37.71,-122.15
2.6101,37.71,-122.14
3.6932,37.71,-122.14
3.4583,37.7,-122.13
3.9032,37.7,-122.13
4.0208,37.71,-122.15
3.5547,37.7,-122.15
4.5859,37.7,-122.14
2.6321,37.7,-122.13
3.395,37.69,-122.13
3.9702,37.7,-122.14
5.0043,37.7,-122.16
4.4659,37.69,-122.14
3.6625,37.69,-122.15
3.8864,37.69,-122.15
3.4583,37.7,-122.15
3.7813,37.69,-122.16
2.9917,37.7,-122.16
4.4375,37.7,-122.16
4.0,37.7,-122.17
2.3869,37.68,-122.16
4.7609,37.69,-122.17
5.4858,37.68,-122.18
4.3971,37.69,-122.16
4.0109,37.69,-122.15
4.3864,37.68,-122.15
4.2841,37.68,-122.15
5.1312,37.69,-122.15
2.9958,37.69,-122.14
3.6364,37.68,-122.14
2.7955,37.68,-122.14
2.9507,37.69,-122.1
3.4375,37.69,-122.12
2.875,37.69,-122.13
3.0345,37.71,-122.12
2.679,37.7,-122.12
2.9922,37.7,-122.12
4.1042,37.69,-122.12
2.5833,37.7,-122.12
2.1552,37.7,-122.11
2.3274,37.7,-122.11
2.4206,37.7,-122.11
3.9063,37.69,-122.1
2.6464,37.69,-122.11
3.4643,37.69,-122.11
2.3973,37.69,-122.12
6.5,37.69,-122.03
6.0574,37.64,-121.97
3.8958,37.63,-122.02
4.7813,37.63,-122.04
3.2829,37.63,-122.05
5.3169,37.66,-122.04
6.2579,37.65,-122.04
5.1701,37.68,-122.05
3.25,37.68,-122.07
3.1796,37.68,-122.06
2.4196,37.68,-122.08
2.6563,37.68,-122.08
0.9637,37.67,-122.08
2.3357,37.67,-122.09
3.5114,37.68,-122.09
3.3125,37.69,-122.09
2.4042,37.68,-122.09
2.8322,37.68,-122.09
2.5156,37.68,-122.09
3.4032,37.68,-122.1
2.535,37.68,-122.1
2.5772,37.68,-122.11
3.0962,37.68,-122.1
2.9564,37.67,-122.1
3.125,37.68,-122.1
2.95,37.68,-122.12
4.38,37.68,-122.12
4.0417,37.68,-122.12
3.8,37.67,-122.11
3.4839,37.68,-122.12
4.0588,37.68,-122.13
4.1974,37.68,-122.13
3.6,37.68,-122.13
4.267,37.68,-122.14
4.2386,37.67,-122.14
5.5797,37.67,-122.15
4.0682,37.67,-122.14
3.1734,37.67,-122.13
4.7933,37.67,-122.14
4.8125,37.67,-122.14
3.8676,37.67,-122.13
3.9395,37.67,-122.12
3.2434,37.67,-122.13
3.0917,37.67,-122.11
3.0645,37.67,-122.11
2.7019,37.67,-122.09
3.1115,37.67,-122.09
3.4722,37.66,-122.09
2.2222,37.66,-122.09
6.1104,37.68,-122.05
4.2733,37.67,-122.06
3.2465,37.67,-122.07
3.2417,37.67,-122.07
3.875,37.67,-122.07
6.0501,37.67,-122.04
6.8233,37.67,-122.04
6.3501,37.66,-122.04
2.6719,37.66,-122.07
3.875,37.66,-122.07
2.5625,37.66,-122.08
3.016,37.65,-122.07
2.7694,37.65,-122.08
3.6818,37.65,-122.08
2.1382,37.66,-122.08
3.7303,37.66,-122.1
3.875,37.66,-122.1
3.0489,37.66,-122.1
2.8203,37.65,-122.09
4.3897,37.65,-122.09
4.7143,37.65,-122.09
4.6875,37.66,-122.1
3.2091,37.66,-122.11
4.275,37.66,-122.1
4.1302,37.66,-122.11
3.09,37.66,-122.11
4.5417,37.65,-122.1
4.6635,37.64,-122.1
4.4427,37.65,-122.1
4.5303,37.65,-122.1
2.375,37.65,-122.12
3.8171,37.63,-122.1
4.5281,37.61,-122.1
4.3456,37.66,-122.13
3.4861,37.65,-122.11
5.2312,37.64,-122.11
3.6708,37.64,-122.11
3.8875,37.64,-122.12
3.9167,37.63,-122.09
3.9063,37.64,-122.09
3.7895,37.63,-122.1
3.8,37.64,-122.08
5.7309,37.64,-122.08
4.1141,37.64,-122.09
5.2838,37.64,-122.09
3.3479,37.64,-122.08
3.142,37.64,-122.08
3.7614,37.63,-122.08
4.25,37.63,-122.08
3.9338,37.64,-122.08
2.5158,37.64,-122.07
2.4808,37.63,-122.07
4.7083,37.64,-122.07
4.1652,37.64,-122.06
3.5541,37.64,-122.06
3.8036,37.65,-122.06
3.8259,37.64,-122.06
3.2331,37.63,-122.04
4.7109,37.62,-122.03
4.2468,37.62,-122.03
6.396,37.62,-122.04
3.8125,37.62,-122.04
3.2857,37.62,-122.04
3.8929,37.62,-122.03
3.7262,37.61,-122.03
4.0125,37.61,-122.03
4.1719,37.61,-122.04
4.2857,37.62,-122.04
3.6458,37.63,-122.08
2.6875,37.62,-122.08
3.7292,37.63,-122.07
4.5913,37.63,-122.07
3.8625,37.63,-122.06
3.3611,37.63,-122.06
2.8971,37.61,-122.05
4.0326,37.63,-122.08
4.0682,37.63,-122.08
5.3644,37.63,-122.09
4.7019,37.63,-122.09
5.64,37.62,-122.08
3.7931,37.61,-122.08
4.6458,37.61,-121.99
3.694,37.6,-122.02
2.652,37.6,-122.02
3.5,37.6,-122.02
3.2386,37.6,-122.02
5.097,37.61,-122.03
4.3875,37.6,-122.04
4.625,37.6,-122.06
5.0406,37.61,-122.08
5.8704,37.6,-122.06
5.3226,37.6,-122.06
4.235,37.59,-122.08
4.825,37.59,-122.07
5.5218,37.58,-122.08
6.5116,37.58,-122.07
6.0661,37.58,-122.07
6.0074,37.58,-122.08
4.6211,37.59,-122.07
5.225,37.58,-122.07
5.3428,37.59,-122.04
3.7462,37.59,-122.05
4.5721,37.6,-122.03
3.6923,37.59,-122.02
4.6786,37.59,-122.03
2.875,37.59,-122.01
3.3617,37.58,-122.02
5.7579,37.58,-122.01
2.9706,37.6,-122.09
3.9022,37.6,-122.08
4.6146,37.57,-121.97
5.7192,37.58,-121.96
3.6832,37.58,-121.98
6.2073,37.58,-121.99
5.8151,37.58,-122.0
5.8322,37.57,-122.01
5.6277,37.58,-122.04
5.2879,37.57,-122.04
6.5615,37.57,-122.07
5.6758,37.58,-122.06
6.1047,37.57,-122.05
3.5714,37.49,-121.93
6.0824,37.52,-122.07
4.3594,37.56,-122.02
5.5737,37.56,-122.02
4.8962,37.56,-122.03
4.6978,37.56,-122.03
4.4259,37.56,-122.01
3.3008,37.55,-122.01
4.5687,37.55,-122.02
3.8179,37.56,-122.01
5.0,37.56,-121.99
4.3393,37.56,-121.99
4.1387,37.55,-121.96
4.8052,37.56,-121.97
4.6349,37.54,-121.97
3.168,37.55,-121.97
3.1326,37.54,-121.98
2.9074,37.55,-121.99
8.3996,37.56,-121.94
6.6478,37.55,-121.95
6.629,37.54,-121.93
6.2179,37.54,-121.94
5.761,37.53,-121.94
4.6641,37.54,-121.95
6.7599,37.54,-121.94
3.9909,37.54,-121.96
4.2955,37.53,-121.96
4.9615,37.53,-121.96
2.6198,37.53,-121.96
4.7135,37.54,-121.97
4.75,37.53,-121.97
5.4299,37.53,-121.97
4.6,37.53,-121.98
4.1947,37.53,-121.98
5.388,37.54,-121.99
3.9444,37.54,-121.99
5.3283,37.54,-121.99
4.8403,37.55,-121.99
5.1616,37.54,-122.0
4.9167,37.55,-122.01
4.1591,37.55,-122.0
5.0,37.54,-122.01
5.8325,37.54,-122.0
5.7057,37.53,-122.01
5.0423,37.53,-121.99
4.5317,37.52,-121.97
5.4359,37.51,-121.97
5.0824,37.52,-121.97
5.2308,37.52,-121.95
4.4107,37.51,-121.96
5.2396,37.52,-121.96
4.7478,37.53,-121.93
8.4045,37.53,-121.92
9.7194,37.49,-121.89
5.1643,37.49,-121.92
5.3813,37.48,-121.92
6.0878,37.47,-121.92
6.867999999999999,37.47,-121.91
6.992000000000001,37.55,-122.03
4.9118,37.55,-122.03
4.4357,37.55,-122.04
4.9464,37.54,-122.04
5.2882,37.54,-122.05
5.1321,37.55,-122.05
3.9667,37.53,-122.04
3.1696,37.5,-122.04
5.0838,37.54,-122.06
4.8214,37.54,-122.03
4.1406,37.54,-122.03
3.7364,37.53,-122.04
3.535,37.54,-122.02
5.0739,37.54,-122.03
3.256,37.53,-122.03
6.0667,37.53,-122.01
5.7072,37.53,-122.02
4.9867,37.51,-122.0
5.1437,37.72,-121.92
5.347,37.72,-121.92
5.7233,37.71,-121.91
4.4697,37.72,-121.93
4.9107,37.72,-121.93
4.2281,37.71,-121.93
5.0143,37.71,-121.94
7.2494,37.71,-121.96
5.1406,37.64,-121.92
8.3337,37.66,-121.93
7.316,37.69,-121.92
6.4994,37.66,-121.9
7.2211,37.68,-121.92
4.4087,37.7,-121.93
5.9345,37.69,-121.91
6.1770000000000005,37.68,-121.91
5.817,37.68,-121.91
6.3132,37.69,-121.91
6.3373,37.68,-121.89
7.332999999999999,37.68,-121.88
6.2918,37.68,-121.89
6.5214,37.67,-121.88
6.4524,37.67,-121.88
6.0604,37.67,-121.89
6.5285,37.67,-121.89
7.2639,37.67,-121.9
7.4353,37.67,-121.9
3.1127,37.66,-121.88
2.4896,37.66,-121.87
5.0677,37.66,-121.87
2.1187,37.66,-121.89
10.9506,37.64,-121.88
7.0691,37.57,-121.87
5.5,37.67,-121.87
4.9879,37.67,-121.87
6.8132,37.68,-121.85
5.6399,37.66,-121.85
4.1597,37.66,-121.86
5.7519,37.66,-121.87
5.6417,37.66,-121.84
10.3203,37.72,-121.85
4.3472,37.73,-121.82
6.6827,37.7,-121.86
3.62,37.69,-121.89
7.3588,37.65,-121.77
5.7239,37.61,-121.62
4.2083,37.77,-121.61
6.1023,37.7,-121.72
3.9864,37.71,-121.73
4.8624,37.71,-121.75
9.1531,37.74,-121.77
4.7361,37.7,-121.8
5.4324,37.69,-121.8
4.9375,37.69,-121.82
3.3841,37.69,-121.76
3.5532,37.68,-121.77
3.3618,37.69,-121.78
4.3533,37.69,-121.78
4.5357,37.69,-121.79
5.7068,37.7,-121.76
