,Longitude,Latitude,MedInc
68,-122.3,37.81,1.8516
69,-122.29,37.81,0.9802
70,-122.29,37.81,1.7719
71,-122.29,37.81,0.7286
72,-122.29,37.81,1.75
73,-122.29,37.81,0.4999
74,-122.29,37.81,2.483
75,-122.28,37.81,0.9241
76,-122.28,37.81,2.4464
77,-122.28,37.81,1.1111
78,-122.29,37.81,0.8026
79,-122.28,37.8,2.0114
80,-122.28,37.81,1.5
81,-122.27,37.81,1.1667
82,-122.28,37.81,1.5208
83,-122.28,37.81,0.8075
84,-122.28,37.81,1.8088
85,-122.28,37.81,2.4083
86,-122.27,37.81,0.977
87,-122.27,37.81,0.76
88,-122.27,37.8,0.9722
89,-122.27,37.8,1.2434
90,-122.27,37.8,2.0938
91,-122.28,37.8,0.8668
92,-122.28,37.8,0.75
93,-122.27,37.79,2.6354
94,-122.27,37.8,1.8477
95,-122.26,37.8,2.0096
96,-122.26,37.82,2.8345
97,-122.26,37.81,2.0062
98,-122.26,37.82,1.2185
99,-122.26,37.82,2.6104
100,-122.25,37.81,2.4912
101,-122.25,37.81,3.2177
102,-122.25,37.81,3.125
103,-122.25,37.81,2.5795
104,-122.26,37.81,2.8406
105,-122.24,37.82,4.9306
106,-122.24,37.81,3.2727
107,-122.25,37.81,3.1691
108,-122.24,37.82,3.9
109,-122.25,37.82,3.9063
110,-122.25,37.82,5.0917
111,-122.25,37.82,2.6429
112,-122.25,37.82,3.0233
113,-122.25,37.83,3.1484
114,-122.25,37.83,3.4722
115,-122.25,37.83,3.1429
116,-122.25,37.83,2.4234
117,-122.25,37.83,3.0897
118,-122.23,37.84,5.8596
119,-122.23,37.84,5.2868
120,-122.24,37.83,5.956
121,-122.24,37.85,4.9643
122,-122.23,37.85,6.3434
123,-122.24,37.84,5.1773
124,-122.24,37.85,7.2354
125,-122.22,37.85,5.457000000000001
126,-122.22,37.84,7.5
127,-122.21,37.84,6.0194
128,-122.21,37.83,7.5544
129,-122.2,37.84,6.0666
130,-122.21,37.84,7.0548
131,-122.19,37.84,11.6017
132,-122.2,37.84,7.4882
133,-122.21,37.83,6.8976
134,-122.19,37.83,8.2049
135,-122.2,37.83,8.401
136,-122.19,37.83,6.8538
137,-122.19,37.82,8.317
138,-122.2,37.82,7.0175
139,-122.2,37.82,6.3302
140,-122.18,37.81,6.3624
141,-122.21,37.82,7.0549
142,-122.2,37.81,6.7851
143,-122.21,37.8,2.8929
144,-122.21,37.8,3.0812
145,-122.21,37.81,5.2402
146,-122.22,37.81,6.5217
147,-122.22,37.8,3.2632
148,-122.22,37.8,3.0298
149,-122.22,37.8,4.5428
150,-122.22,37.81,4.072
151,-122.22,37.81,5.3509
152,-122.23,37.8,3.1603
153,-122.23,37.81,4.7708
154,-122.22,37.81,8.1564
155,-122.23,37.81,8.8793
156,-122.24,37.81,6.8591
157,-122.24,37.81,6.0302
158,-122.23,37.81,7.507999999999999
159,-122.24,37.81,2.7477
160,-122.24,37.8,2.1944
161,-122.25,37.8,3.0149
162,-122.24,37.81,3.675
163,-122.25,37.81,3.225
164,-122.25,37.8,2.9345
165,-122.25,37.8,2.1429
166,-122.25,37.8,1.6121
167,-122.25,37.8,1.3929
168,-122.24,37.79,2.3173
169,-122.25,37.79,1.7772
170,-122.25,37.79,2.6458
171,-122.25,37.79,2.181
172,-122.25,37.8,2.2303
173,-122.25,37.8,1.6504
174,-122.24,37.8,2.2697
175,-122.24,37.8,2.1563
176,-122.24,37.8,2.1348
177,-122.24,37.8,2.6292
178,-122.23,37.8,2.3833
179,-122.24,37.8,2.957
180,-122.24,37.8,2.5238
181,-122.23,37.8,1.9375
182,-122.23,37.8,1.9028
183,-122.23,37.8,2.25
184,-122.23,37.8,2.3929
185,-122.23,37.79,2.1917
186,-122.23,37.79,2.9357
187,-122.23,37.79,1.8854
188,-122.24,37.79,2.1638
189,-122.24,37.79,2.125
190,-122.24,37.79,3.375
191,-122.24,37.79,2.2542
192,-122.25,37.79,2.1
193,-122.25,37.79,1.6
194,-122.25,37.79,3.625
195,-122.26,37.8,1.6929
196,-122.22,37.77,1.6471
197,-122.22,37.77,2.59
198,-122.23,37.77,2.57
199,-122.23,37.78,2.6429
200,-122.23,37.78,3.0257
201,-122.22,37.78,1.4886
202,-122.23,37.78,1.9338
203,-122.23,37.78,1.4844
204,-122.23,37.78,1.6009
205,-122.23,37.79,2.0375
206,-122.23,37.79,2.293
207,-122.22,37.79,2.1494
208,-122.23,37.79,1.6198
209,-122.23,37.79,1.3281
210,-122.22,37.79,3.5156
211,-122.22,37.79,3.9048
212,-122.21,37.79,3.0893
213,-122.22,37.79,2.6042
214,-122.22,37.79,2.5
215,-122.22,37.79,2.7969
216,-122.2,37.79,2.8321
217,-122.21,37.79,2.9583
218,-122.21,37.79,2.8365
219,-122.21,37.79,2.875
220,-122.21,37.8,3.0682
221,-122.21,37.8,3.0757
222,-122.2,37.8,4.9559
223,-122.2,37.8,4.7721
224,-122.21,37.8,3.4861
225,-122.2,37.8,5.1184
226,-122.21,37.8,4.0977
227,-122.19,37.8,4.744
228,-122.19,37.8,4.2727
229,-122.19,37.79,2.9844
230,-122.2,37.79,4.1739
231,-122.2,37.8,3.8487
232,-122.19,37.8,4.0114
233,-122.19,37.79,4.6563
234,-122.19,37.79,2.9297
235,-122.2,37.79,2.3036
236,-122.2,37.79,2.6667
237,-122.2,37.79,2.619
238,-122.21,37.79,2.4167
239,-122.2,37.79,2.7788
240,-122.21,37.78,2.7352
241,-122.21,37.78,1.8472
242,-122.21,37.78,2.6583
243,-122.21,37.78,3.0536
244,-122.22,37.78,2.3906
245,-122.21,37.78,1.7188
246,-122.21,37.78,2.625
247,-122.22,37.77,2.8015
248,-122.22,37.78,1.7276
249,-122.22,37.78,2.0801
250,-122.22,37.78,2.489
251,-122.21,37.76,1.7546
252,-122.21,37.77,4.0904
253,-122.21,37.77,2.6765
254,-122.2,37.77,2.4338
255,-122.21,37.77,2.3309
256,-122.21,37.77,2.2604
257,-122.19,37.77,1.8039
258,-122.2,37.77,2.2562
259,-122.2,37.77,2.0562
260,-122.2,37.78,3.5398
261,-122.2,37.78,3.1167
262,-122.2,37.78,2.5401
263,-122.2,37.77,2.898
264,-122.21,37.78,2.3125
265,-122.19,37.78,2.875
266,-122.19,37.77,3.3715
267,-122.19,37.77,3.5114
268,-122.19,37.78,4.3125
269,-122.19,37.78,3.22
270,-122.18,37.78,3.875
271,-122.19,37.78,5.2328
272,-122.19,37.78,3.7262
273,-122.2,37.78,4.5893
274,-122.18,37.79,5.2578
275,-122.18,37.79,7.0875
276,-122.18,37.79,3.9712
277,-122.19,37.79,2.9514
278,-122.19,37.79,2.6667
279,-122.18,37.81,5.4446
280,-122.18,37.8,6.2838
281,-122.18,37.8,6.7527
282,-122.13,37.77,7.0712
283,-122.16,37.79,5.9849
284,-122.17,37.78,3.6875
285,-122.17,37.77,2.875
286,-122.18,37.78,3.4205
287,-122.18,37.78,3.2984
288,-122.17,37.78,3.875
289,-122.17,37.78,4.175
290,-122.16,37.77,4.375
291,-122.16,37.77,4.7708
292,-122.16,37.77,3.5739
293,-122.16,37.77,3.0958
294,-122.17,37.77,3.3958
295,-122.17,37.77,1.871
296,-122.17,37.76,1.9356
297,-122.17,37.76,2.1842
298,-122.18,37.76,2.2917
299,-122.17,37.76,2.4333
300,-122.18,37.76,1.9479
301,-122.18,37.76,3.9063
302,-122.18,37.76,1.8407
303,-122.18,37.77,2.0786
304,-122.18,37.77,2.8125
305,-122.18,37.76,1.8913
306,-122.19,37.76,1.7056
307,-122.18,37.77,2.2768
308,-122.18,37.77,3.2552
309,-122.18,37.77,2.0556
310,-122.19,37.76,2.4659
311,-122.2,37.76,1.75
312,-122.19,37.77,2.0469
313,-122.19,37.77,2.7159
314,-122.19,37.76,1.2083
315,-122.19,37.76,1.925
316,-122.2,37.75,1.5809
317,-122.2,37.76,1.4097
318,-122.19,37.76,0.7683
319,-122.19,37.75,1.3194
320,-122.19,37.75,0.8012
321,-122.19,37.76,1.9479
322,-122.19,37.74,1.1765
323,-122.18,37.74,2.3456
324,-122.19,37.73,2.1538
325,-122.19,37.74,2.5139
326,-122.19,37.73,1.2625
327,-122.18,37.73,2.9063
328,-122.18,37.73,2.5192
329,-122.18,37.73,2.1111
330,-122.18,37.73,2.455
331,-122.17,37.74,2.4028
332,-122.17,37.74,2.15
333,-122.17,37.74,2.4776
334,-122.17,37.73,2.1587
335,-122.18,37.74,1.8438
336,-122.17,37.74,3.0298
337,-122.17,37.74,2.25
338,-122.18,37.74,2.2467
339,-122.18,37.75,4.0469
340,-122.18,37.75,1.325
341,-122.17,37.75,1.6196
342,-122.18,37.75,2.1731
343,-122.19,37.75,1.9167
344,-122.18,37.75,2.069
345,-122.18,37.75,1.712
346,-122.17,37.76,2.5625
347,-122.17,37.75,1.9821
348,-122.17,37.75,2.5043
349,-122.17,37.75,2.3281
350,-122.17,37.75,1.4375
351,-122.16,37.76,2.5122
352,-122.16,37.75,1.5625
353,-122.17,37.75,3.1587
354,-122.17,37.76,1.8426
355,-122.16,37.76,4.6696
356,-122.16,37.76,2.4598
357,-122.15,37.76,6.0749
358,-122.14,37.77,4.8304
359,-122.14,37.76,5.5701
360,-122.13,37.76,5.37
361,-122.12,37.75,6.86
362,-122.12,37.75,7.6923
363,-122.14,37.75,4.0313
364,-122.14,37.75,6.8323
365,-122.13,37.75,4.975
366,-122.13,37.75,5.3602
367,-122.13,37.74,5.0
368,-122.16,37.75,2.925
369,-122.15,37.75,3.8913
370,-122.15,37.75,3.225
371,-122.15,37.74,3.1458
372,-122.16,37.75,2.537
373,-122.16,37.75,2.5568
374,-122.15,37.74,3.5083
375,-122.15,37.74,3.3125
376,-122.16,37.75,1.8235
377,-122.16,37.75,3.8047
378,-122.17,37.74,2.2917
379,-122.17,37.75,2.4962
380,-122.16,37.74,4.0417
381,-122.16,37.74,3.4844
382,-122.16,37.74,4.1458
383,-122.16,37.74,2.625
384,-122.16,37.74,2.0227
385,-122.29,37.9,3.3333
386,-122.29,37.9,5.337999999999999
387,-122.29,37.89,3.4732
388,-122.3,37.9,3.5125
389,-122.29,37.89,3.1375
390,-122.3,37.89,2.8036
391,-122.3,37.9,4.5824
392,-122.3,37.89,3.0208
393,-122.3,37.89,4.0875
394,-122.33,37.89,4.5268
395,-122.34,37.88,1.7375
396,-122.29,37.89,3.1795
397,-122.29,37.88,3.8672
398,-122.29,37.89,5.1675
399,-122.29,37.89,5.1696
400,-122.28,37.88,4.2614
401,-122.29,37.89,5.0551
402,-122.27,37.9,5.6228
403,-122.26,37.9,7.8864
404,-122.27,37.9,7.9556
405,-122.27,37.9,6.174
406,-122.27,37.9,6.9414
407,-122.27,37.89,8.8342
408,-122.28,37.9,7.1754
409,-122.28,37.9,10.0825
410,-122.28,37.9,4.9083
411,-122.28,37.89,5.7912
412,-122.28,37.89,4.5893
413,-122.28,37.89,5.4171
414,-122.28,37.89,4.125
415,-122.27,37.89,7.266
416,-122.27,37.89,5.3989
417,-122.26,37.9,7.8336
418,-122.25,37.89,6.1593
419,-122.26,37.89,6.381
420,-122.26,37.89,6.6828
421,-122.25,37.89,7.5385
422,-122.25,37.89,6.7138
423,-122.26,37.88,6.2425
424,-122.26,37.88,5.7979
425,-122.27,37.88,4.2813
426,-122.27,37.88,3.5417
427,-122.27,37.88,3.0132
428,-122.28,37.88,4.1429
429,-122.28,37.88,4.1912
430,-122.28,37.88,3.9167
431,-122.29,37.88,3.8897
432,-122.29,37.88,3.1065
433,-122.29,37.88,2.9926
434,-122.29,37.88,3.556
435,-122.3,37.88,1.475
436,-122.3,37.88,1.6971
437,-122.3,37.87,2.1705
438,-122.3,37.86,2.75
439,-122.29,37.85,2.5682
440,-122.3,37.88,2.9
441,-122.3,37.87,2.2208
442,-122.28,37.88,3.2344
443,-122.28,37.87,3.5156
444,-122.28,37.87,1.9805
445,-122.29,37.87,2.6684
446,-122.29,37.87,3.875
447,-122.28,37.88,3.006
448,-122.28,37.87,2.543
449,-122.28,37.87,2.8676
450,-122.27,37.88,2.1907
451,-122.27,37.87,1.7778
452,-122.27,37.88,2.52
453,-122.26,37.88,4.2788
454,-122.26,37.88,2.944
455,-122.26,37.88,1.725
456,-122.25,37.87,5.2289
457,-122.25,37.87,2.5562
458,-122.25,37.87,0.949
459,-122.25,37.87,1.1696
460,-122.26,37.87,1.4012
461,-122.26,37.87,1.1859
462,-122.27,37.87,1.7464
463,-122.27,37.87,2.8846
464,-122.27,37.87,2.7372
465,-122.28,37.86,3.8594
466,-122.28,37.87,3.5625
467,-122.28,37.87,2.2788
468,-122.29,37.87,2.537
469,-122.29,37.87,2.525
470,-122.29,37.86,1.9946
471,-122.28,37.86,2.8214
472,-122.29,37.87,2.6165
473,-122.29,37.86,1.9483
474,-122.28,37.86,1.9327
475,-122.28,37.86,1.9798
476,-122.28,37.85,2.4167
477,-122.27,37.86,2.5417
478,-122.28,37.86,3.3906
479,-122.28,37.86,2.5652
480,-122.28,37.86,2.2845
481,-122.27,37.86,2.6071
482,-122.27,37.86,3.15
483,-122.27,37.86,2.6914
484,-122.27,37.86,1.8447
485,-122.26,37.86,1.6307
486,-122.26,37.86,2.9044
487,-122.26,37.86,2.9405
488,-122.26,37.86,3.3893
489,-122.25,37.86,3.0417
490,-122.25,37.86,7.0897
491,-122.25,37.86,5.0463
492,-122.25,37.86,1.7652
493,-122.24,37.86,7.8521
494,-122.24,37.85,9.3959
495,-122.25,37.86,5.3794
496,-122.26,37.85,3.2619
497,-122.27,37.85,2.7054
498,-122.27,37.85,2.2431
499,-122.27,37.85,1.9028
500,-122.27,37.85,1.5817
501,-122.27,37.85,2.2841
502,-122.27,37.85,1.3785
503,-122.28,37.85,2.9018
504,-122.28,37.85,1.73
505,-122.28,37.85,2.2625
506,-122.29,37.84,2.2106
507,-122.28,37.83,2.6997
508,-122.3,37.84,4.0018
509,-122.23,37.83,7.8772
510,-122.22,37.82,11.8603
511,-122.22,37.82,13.499
512,-122.23,37.82,12.2138
513,-122.23,37.82,8.1872
514,-122.23,37.82,12.3804
515,-122.24,37.83,5.8948
516,-122.24,37.83,8.1194
517,-122.23,37.82,8.7477
518,-122.24,37.82,6.155
519,-122.25,37.82,5.882999999999999
520,-122.23,37.76,5.2128
521,-122.23,37.76,4.7188
522,-122.23,37.76,5.2915
523,-122.24,37.77,2.6411
524,-122.23,37.77,3.3214
525,-122.24,37.77,3.6417
526,-122.25,37.77,3.0161
527,-122.25,37.77,3.1771
528,-122.25,37.77,3.4531
529,-122.25,37.77,4.3098
530,-122.26,37.78,3.3438
531,-122.26,37.78,2.9213
532,-122.27,37.78,2.6806
533,-122.27,37.78,3.7708
534,-122.27,37.78,3.9444
535,-122.27,37.78,5.2601
536,-122.28,37.79,2.5444
537,-122.3,37.77,2.6447
538,-122.28,37.78,2.5762
539,-122.29,37.78,1.9427
540,-122.28,37.77,2.9688
541,-122.28,37.77,3.75
542,-122.29,37.76,5.1702
543,-122.28,37.78,2.5139
544,-122.26,37.77,2.9732
545,-122.27,37.77,5.5337
546,-122.27,37.77,4.1667
547,-122.27,37.77,2.7115
548,-122.27,37.77,3.3269
549,-122.25,37.77,3.2685
550,-122.26,37.77,4.7778
551,-122.26,37.77,4.226
552,-122.26,37.77,3.3571
553,-122.26,37.77,2.9899
554,-122.26,37.77,2.875
555,-122.24,37.77,2.3882
556,-122.25,37.77,2.975
557,-122.23,37.76,5.1039
558,-122.23,37.76,4.1458
559,-122.24,37.76,3.4762
560,-122.24,37.76,2.6833
561,-122.23,37.76,5.75
562,-122.23,37.75,3.9632
563,-122.24,37.75,4.9489
564,-122.24,37.75,4.8711
565,-122.24,37.76,3.0718
566,-122.24,37.76,3.6719
567,-122.24,37.76,4.6094
568,-122.24,37.73,4.5213
569,-122.25,37.74,4.4562
570,-122.24,37.72,7.611000000000001
571,-122.27,37.73,3.2689
572,-122.25,37.76,3.567
573,-122.27,37.74,3.6875
574,-122.27,37.77,4.7695
575,-122.28,37.75,3.1972
576,-122.06,37.77,7.2634
577,-122.06,37.73,7.0568
578,-122.06,37.71,4.635
579,-122.07,37.71,5.3015
580,-122.07,37.71,4.9801
581,-122.07,37.72,5.4834
582,-122.08,37.72,6.187
583,-122.08,37.72,5.6194
584,-122.08,37.71,5.4639
585,-122.09,37.71,5.1498
586,-122.1,37.72,5.8382
587,-122.11,37.71,4.65
588,-122.1,37.7,4.3819
589,-122.1,37.69,3.7222
590,-122.09,37.71,5.2855
591,-122.09,37.7,4.3375
592,-122.1,37.71,5.2131
593,-122.09,37.7,6.005
594,-122.08,37.71,5.0519
595,-122.08,37.71,4.8237
596,-122.08,37.7,5.2497
597,-122.07,37.7,4.125
598,-122.06,37.7,4.6005
599,-122.06,37.7,3.5187
600,-122.07,37.7,3.0
601,-122.08,37.7,3.4934
602,-122.09,37.7,2.9861
603,-122.07,37.69,2.5362
604,-122.08,37.69,3.3021
605,-122.07,37.69,3.0964
606,-122.08,37.69,2.8512
607,-122.08,37.69,3.3478
608,-122.08,37.68,2.3958
609,-122.08,37.68,3.5295
610,-122.09,37.69,4.8036
611,-122.15,37.74,3.851
612,-122.14,37.74,4.0662
613,-122.14,37.73,4.6042
614,-122.15,37.74,2.2
615,-122.16,37.73,4.1164
616,-122.15,37.74,3.95
617,-122.15,37.73,4.9135
618,-122.15,37.73,2.8355
619,-122.17,37.73,3.25
620,-122.16,37.73,2.8301
621,-122.17,37.73,3.7159
622,-122.16,37.73,2.5625
623,-122.18,37.72,3.8047
624,-122.18,37.71,3.375
625,-122.17,37.71,3.244
626,-122.18,37.7,4.0268
627,-122.18,37.7,3.3906
628,-122.19,37.71,5.5461
629,-122.17,37.72,3.3710000000000004
630,-122.17,37.72,3.5313
631,-122.17,37.72,3.663
632,-122.16,37.72,2.875
633,-122.17,37.72,4.0202
634,-122.16,37.71,4.5553
635,-122.16,37.71,3.4643
636,-122.16,37.72,3.3431
637,-122.15,37.73,2.1898
638,-122.15,37.72,2.9097
639,-122.15,37.72,3.375
640,-122.15,37.72,2.8125
641,-122.14,37.73,5.0
642,-122.14,37.73,3.0673
643,-122.14,37.73,3.8125
644,-122.13,37.73,6.9096
645,-122.13,37.72,7.912000000000001
646,-122.13,37.72,3.8393
647,-122.12,37.71,4.0
648,-122.13,37.72,6.5095
649,-122.14,37.72,3.5156
650,-122.14,37.72,2.983
651,-122.13,37.72,3.524
652,-122.13,37.71,3.1103
653,-122.13,37.71,3.5781
654,-122.15,37.71,3.1682
655,-122.14,37.71,2.6101
656,-122.14,37.71,3.6932
657,-122.13,37.7,3.4583
658,-122.13,37.7,3.9032
659,-122.15,37.71,4.0208
660,-122.15,37.7,3.5547
661,-122.14,37.7,4.5859
662,-122.13,37.7,2.6321
663,-122.13,37.69,3.395
664,-122.14,37.7,3.9702
665,-122.16,37.7,5.0043
666,-122.14,37.69,4.4659
667,-122.15,37.69,3.6625
668,-122.15,37.69,3.8864
669,-122.15,37.7,3.4583
670,-122.16,37.69,3.7813
671,-122.16,37.7,2.9917
672,-122.16,37.7,4.4375
673,-122.17,37.7,4.0
674,-122.16,37.68,2.3869
675,-122.17,37.69,4.7609
676,-122.18,37.68,5.4858
677,-122.16,37.69,4.3971
678,-122.15,37.69,4.0109
679,-122.15,37.68,4.3864
680,-122.15,37.68,4.2841
681,-122.15,37.69,5.1312
682,-122.14,37.69,2.9958
683,-122.14,37.68,3.6364
684,-122.14,37.68,2.7955
685,-122.1,37.69,2.9507
686,-122.12,37.69,3.4375
687,-122.13,37.69,2.875
688,-122.12,37.71,3.0345
689,-122.12,37.7,2.679
690,-122.12,37.7,2.9922
691,-122.12,37.69,4.1042
692,-122.12,37.7,2.5833
693,-122.11,37.7,2.1552
694,-122.11,37.7,2.3274
695,-122.11,37.7,2.4206
696,-122.1,37.69,3.9063
697,-122.11,37.69,2.6464
698,-122.11,37.69,3.4643
699,-122.12,37.69,2.3973
700,-122.03,37.69,6.5
701,-121.97,37.64,6.0574
702,-122.02,37.63,3.8958
703,-122.04,37.63,4.7813
704,-122.05,37.63,3.2829
705,-122.04,37.66,5.3169
706,-122.04,37.65,6.2579
707,-122.05,37.68,5.1701
708,-122.07,37.68,3.25
709,-122.06,37.68,3.1796
710,-122.08,37.68,2.4196
711,-122.08,37.68,2.6563
712,-122.08,37.67,0.9637
713,-122.09,37.67,2.3357
714,-122.09,37.68,3.5114
715,-122.09,37.69,3.3125
716,-122.09,37.68,2.4042
717,-122.09,37.68,2.8322
718,-122.09,37.68,2.5156
719,-122.1,37.68,3.4032
720,-122.1,37.68,2.535
721,-122.11,37.68,2.5772
722,-122.1,37.68,3.0962
723,-122.1,37.67,2.9564
724,-122.1,37.68,3.125
725,-122.12,37.68,2.95
726,-122.12,37.68,4.38
727,-122.12,37.68,4.0417
728,-122.11,37.67,3.8
729,-122.12,37.68,3.4839
730,-122.13,37.68,4.0588
731,-122.13,37.68,4.1974
732,-122.13,37.68,3.6
733,-122.14,37.68,4.267
734,-122.14,37.67,4.2386
735,-122.15,37.67,5.5797
736,-122.14,37.67,4.0682
737,-122.13,37.67,3.1734
738,-122.14,37.67,4.7933
739,-122.14,37.67,4.8125
740,-122.13,37.67,3.8676
741,-122.12,37.67,3.9395
742,-122.13,37.67,3.2434
743,-122.11,37.67,3.0917
744,-122.11,37.67,3.0645
745,-122.09,37.67,2.7019
746,-122.09,37.67,3.1115
747,-122.09,37.66,3.4722
748,-122.09,37.66,2.2222
749,-122.05,37.68,6.1104
750,-122.06,37.67,4.2733
751,-122.07,37.67,3.2465
752,-122.07,37.67,3.2417
753,-122.07,37.67,3.875
754,-122.04,37.67,6.0501
755,-122.04,37.67,6.8233
756,-122.04,37.66,6.3501
757,-122.07,37.66,2.6719
758,-122.07,37.66,3.875
759,-122.08,37.66,2.5625
760,-122.07,37.65,3.016
761,-122.08,37.65,2.7694
762,-122.08,37.65,3.6818
763,-122.08,37.66,2.1382
764,-122.1,37.66,3.7303
765,-122.1,37.66,3.875
766,-122.1,37.66,3.0489
767,-122.09,37.65,2.8203
768,-122.09,37.65,4.3897
769,-122.09,37.65,4.7143
770,-122.1,37.66,4.6875
771,-122.11,37.66,3.2091
772,-122.1,37.66,4.275
773,-122.11,37.66,4.1302
774,-122.11,37.66,3.09
775,-122.1,37.65,4.5417
776,-122.1,37.64,4.6635
777,-122.1,37.65,4.4427
778,-122.1,37.65,4.5303
779,-122.12,37.65,2.375
780,-122.1,37.63,3.8171
781,-122.1,37.61,4.5281
782,-122.13,37.66,4.3456
783,-122.11,37.65,3.4861
784,-122.11,37.64,5.2312
785,-122.11,37.64,3.6708
786,-122.12,37.64,3.8875
787,-122.09,37.63,3.9167
788,-122.09,37.64,3.9063
789,-122.1,37.63,3.7895
790,-122.08,37.64,3.8
791,-122.08,37.64,5.7309
792,-122.09,37.64,4.1141
793,-122.09,37.64,5.2838
794,-122.08,37.64,3.3479
795,-122.08,37.64,3.142
796,-122.08,37.63,3.7614
797,-122.08,37.63,4.25
798,-122.08,37.64,3.9338
799,-122.07,37.64,2.5158
800,-122.07,37.63,2.4808
801,-122.07,37.64,4.7083
802,-122.06,37.64,4.1652
803,-122.06,37.64,3.5541
804,-122.06,37.65,3.8036
805,-122.06,37.64,3.8259
806,-122.04,37.63,3.2331
807,-122.03,37.62,4.7109
808,-122.03,37.62,4.2468
809,-122.04,37.62,6.396
810,-122.04,37.62,3.8125
811,-122.04,37.62,3.2857
812,-122.03,37.62,3.8929
813,-122.03,37.61,3.7262
814,-122.03,37.61,4.0125
815,-122.04,37.61,4.1719
816,-122.04,37.62,4.2857
817,-122.08,37.63,3.6458
818,-122.08,37.62,2.6875
819,-122.07,37.63,3.7292
820,-122.07,37.63,4.5913
821,-122.06,37.63,3.8625
822,-122.06,37.63,3.3611
823,-122.05,37.61,2.8971
824,-122.08,37.63,4.0326
825,-122.08,37.63,4.0682
826,-122.09,37.63,5.3644
827,-122.09,37.63,4.7019
828,-122.08,37.62,5.64
829,-122.08,37.61,3.7931
830,-121.99,37.61,4.6458
831,-122.02,37.6,3.694
832,-122.02,37.6,2.652
833,-122.02,37.6,3.5
834,-122.02,37.6,3.2386
835,-122.03,37.61,5.097
836,-122.04,37.6,4.3875
837,-122.06,37.6,4.625
838,-122.08,37.61,5.0406
839,-122.06,37.6,5.8704
840,-122.06,37.6,5.3226
841,-122.08,37.59,4.235
842,-122.07,37.59,4.825
843,-122.08,37.58,5.5218
844,-122.07,37.58,6.5116
845,-122.07,37.58,6.0661
846,-122.08,37.58,6.0074
847,-122.07,37.59,4.6211
848,-122.07,37.58,5.225
849,-122.04,37.59,5.3428
850,-122.05,37.59,3.7462
851,-122.03,37.6,4.5721
852,-122.02,37.59,3.6923
853,-122.03,37.59,4.6786
854,-122.01,37.59,2.875
855,-122.02,37.58,3.3617
856,-122.01,37.58,5.7579
857,-122.09,37.6,2.9706
858,-122.08,37.6,3.9022
859,-121.97,37.57,4.6146
860,-121.96,37.58,5.7192
861,-121.98,37.58,3.6832
862,-121.99,37.58,6.2073
863,-122.0,37.58,5.8151
864,-122.01,37.57,5.8322
865,-122.04,37.58,5.6277
866,-122.04,37.57,5.2879
867,-122.07,37.57,6.5615
868,-122.06,37.58,5.6758
869,-122.05,37.57,6.1047
870,-121.93,37.49,3.5714
871,-122.07,37.52,6.0824
872,-122.02,37.56,4.3594
873,-122.02,37.56,5.5737
874,-122.03,37.56,4.8962
875,-122.03,37.56,4.6978
876,-122.01,37.56,4.4259
877,-122.01,37.55,3.3008
878,-122.02,37.55,4.5687
879,-122.01,37.56,3.8179
